,GEO,Gender,Age group,VALUE
0,Atlantic Region,Female,0 to 19 years,32223
1,Atlantic Region,Female,20 to 29 years,48462
2,Atlantic Region,Female,30 to 39 years,49398
3,Atlantic Region,Female,40 to 49 years,46947
4,Atlantic Region,Female,50 to 59 years,48744
5,Atlantic Region,Female,60 to 69 years,33354
6,Atlantic Region,Female,70 to 79 years,24279
7,Atlantic Region,Female,80 years and over,37419
8,Atlantic Region,Male,0 to 19 years,31035
9,Atlantic Region,Male,20 to 29 years,28497
10,Atlantic Region,Male,30 to 39 years,27792
11,Atlantic Region,Male,40 to 49 years,25887
12,Atlantic Region,Male,50 to 59 years,32451
13,Atlantic Region,Male,60 to 69 years,28719
14,Atlantic Region,Male,70 to 79 years,23694
15,Atlantic Region,Male,80 years and over,21837
16,Atlantic Region,"Not stated, gender",0 to 19 years,33
17,Atlantic Region,"Not stated, gender",20 to 29 years,75
18,Atlantic Region,"Not stated, gender",30 to 39 years,33
19,Atlantic Region,"Not stated, gender",40 to 49 years,36
20,Atlantic Region,"Not stated, gender",50 to 59 years,27
21,Atlantic Region,"Not stated, gender",60 to 69 years,18
22,Atlantic Region,"Not stated, gender",70 to 79 years,12
23,Atlantic Region,"Not stated, gender",80 years and over,24
24,British Columbia and Yukon Region,Female,0 to 19 years,96558
25,British Columbia and Yukon Region,Female,20 to 29 years,116646
26,British Columbia and Yukon Region,Female,30 to 39 years,115614
27,British Columbia and Yukon Region,Female,40 to 49 years,89334
28,British Columbia and Yukon Region,Female,50 to 59 years,70470
29,British Columbia and Yukon Region,Female,60 to 69 years,47787
30,British Columbia and Yukon Region,Female,70 to 79 years,30351
31,British Columbia and Yukon Region,Female,80 years and over,47535
32,British Columbia and Yukon Region,Male,0 to 19 years,103620
33,British Columbia and Yukon Region,Male,20 to 29 years,104661
34,British Columbia and Yukon Region,Male,30 to 39 years,98118
35,British Columbia and Yukon Region,Male,40 to 49 years,75375
36,British Columbia and Yukon Region,Male,50 to 59 years,65706
37,British Columbia and Yukon Region,Male,60 to 69 years,50598
38,British Columbia and Yukon Region,Male,70 to 79 years,34389
39,British Columbia and Yukon Region,Male,80 years and over,36189
40,British Columbia and Yukon Region,"Not stated, gender",0 to 19 years,591
41,British Columbia and Yukon Region,"Not stated, gender",20 to 29 years,1014
42,British Columbia and Yukon Region,"Not stated, gender",30 to 39 years,912
43,British Columbia and Yukon Region,"Not stated, gender",40 to 49 years,711
44,British Columbia and Yukon Region,"Not stated, gender",50 to 59 years,546
45,British Columbia and Yukon Region,"Not stated, gender",60 to 69 years,375
46,British Columbia and Yukon Region,"Not stated, gender",70 to 79 years,246
47,British Columbia and Yukon Region,"Not stated, gender",80 years and over,492
48,Ontario and Nunavut Region,Female,0 to 19 years,350724
49,Ontario and Nunavut Region,Female,20 to 29 years,494079
50,Ontario and Nunavut Region,Female,30 to 39 years,444012
51,Ontario and Nunavut Region,Female,40 to 49 years,394026
52,Ontario and Nunavut Region,Female,50 to 59 years,358038
53,Ontario and Nunavut Region,Female,60 to 69 years,212856
54,Ontario and Nunavut Region,Female,70 to 79 years,137337
55,Ontario and Nunavut Region,Female,80 years and over,241440
56,Ontario and Nunavut Region,Male,0 to 19 years,355914
57,Ontario and Nunavut Region,Male,20 to 29 years,396027
58,Ontario and Nunavut Region,Male,30 to 39 years,336930
59,Ontario and Nunavut Region,Male,40 to 49 years,279318
60,Ontario and Nunavut Region,Male,50 to 59 years,275688
61,Ontario and Nunavut Region,Male,60 to 69 years,200148
62,Ontario and Nunavut Region,Male,70 to 79 years,138744
63,Ontario and Nunavut Region,Male,80 years and over,147849
64,Ontario and Nunavut Region,"Not stated, gender",0 to 19 years,8553
65,Ontario and Nunavut Region,"Not stated, gender",20 to 29 years,7590
66,Ontario and Nunavut Region,"Not stated, gender",30 to 39 years,4956
67,Ontario and Nunavut Region,"Not stated, gender",40 to 49 years,3666
68,Ontario and Nunavut Region,"Not stated, gender",50 to 59 years,3111
69,Ontario and Nunavut Region,"Not stated, gender",60 to 69 years,1884
70,Ontario and Nunavut Region,"Not stated, gender",70 to 79 years,960
71,Ontario and Nunavut Region,"Not stated, gender",80 years and over,1035
72,Prairies and Northwest Territories Region,Female,0 to 19 years,293100
73,Prairies and Northwest Territories Region,Female,20 to 29 years,251436
74,Prairies and Northwest Territories Region,Female,30 to 39 years,273207
75,Prairies and Northwest Territories Region,Female,40 to 49 years,225237
76,Prairies and Northwest Territories Region,Female,50 to 59 years,164640
77,Prairies and Northwest Territories Region,Female,60 to 69 years,102195
78,Prairies and Northwest Territories Region,Female,70 to 79 years,59838
79,Prairies and Northwest Territories Region,Female,80 years and over,97668
80,Prairies and Northwest Territories Region,Male,0 to 19 years,305610
81,Prairies and Northwest Territories Region,Male,20 to 29 years,215007
82,Prairies and Northwest Territories Region,Male,30 to 39 years,229059
83,Prairies and Northwest Territories Region,Male,40 to 49 years,190533
84,Prairies and Northwest Territories Region,Male,50 to 59 years,148932
85,Prairies and Northwest Territories Region,Male,60 to 69 years,102855
86,Prairies and Northwest Territories Region,Male,70 to 79 years,60921
87,Prairies and Northwest Territories Region,Male,80 years and over,62289
88,Prairies and Northwest Territories Region,"Not stated, gender",0 to 19 years,300
89,Prairies and Northwest Territories Region,"Not stated, gender",20 to 29 years,294
90,Prairies and Northwest Territories Region,"Not stated, gender",30 to 39 years,150
91,Prairies and Northwest Territories Region,"Not stated, gender",40 to 49 years,84
92,Prairies and Northwest Territories Region,"Not stated, gender",50 to 59 years,78
93,Prairies and Northwest Territories Region,"Not stated, gender",60 to 69 years,60
94,Prairies and Northwest Territories Region,"Not stated, gender",70 to 79 years,15
95,Prairies and Northwest Territories Region,"Not stated, gender",80 years and over,9
96,Quebec Region,Female,0 to 19 years,306414
97,Quebec Region,Female,20 to 29 years,319953
98,Quebec Region,Female,30 to 39 years,328782
99,Quebec Region,Female,40 to 49 years,318870
100,Quebec Region,Female,50 to 59 years,251382
101,Quebec Region,Female,60 to 69 years,144588
102,Quebec Region,Female,70 to 79 years,105333
103,Quebec Region,Female,80 years and over,169410
104,Quebec Region,Male,0 to 19 years,302388
105,Quebec Region,Male,20 to 29 years,225108
106,Quebec Region,Male,30 to 39 years,218877
107,Quebec Region,Male,40 to 49 years,216501
108,Quebec Region,Male,50 to 59 years,194256
109,Quebec Region,Male,60 to 69 years,136458
110,Quebec Region,Male,70 to 79 years,107241
111,Quebec Region,Male,80 years and over,107418
112,Quebec Region,"Not stated, gender",0 to 19 years,1110
113,Quebec Region,"Not stated, gender",20 to 29 years,1134
114,Quebec Region,"Not stated, gender",30 to 39 years,906
115,Quebec Region,"Not stated, gender",40 to 49 years,633
116,Quebec Region,"Not stated, gender",50 to 59 years,405
117,Quebec Region,"Not stated, gender",60 to 69 years,195
118,Quebec Region,"Not stated, gender",70 to 79 years,96
119,Quebec Region,"Not stated, gender",80 years and over,39
